project,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,,,,,,,,,,,,,,,
sample_event,,,,,,,,,,,,,,,,,,,,,,,,
stream_name,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,,,,,,,,,,,,,,,
site_name,BAFB 1,BAFB 2,BAFB 3,BAFB 1,BAFB 2,BAFB 3,BAFB 1,BAFB 2,BAFB 3,,,,,,,,,,,,,,,
sample_date,5/11/22,6/17/22,6/27/22,6/20/23,6/22/23,6/20/23,9/17/24,9/11/24,9/10/24,,,,,,,,,,,,,,,
reach_length,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,,,
elevation,170,170,170,170,170,170,170,170,170,,,,,,,,,,,,,,,
GPS_lat,,,,,,,,,,,,,,,,,,,,,,,,
GPS_long,,,,,,,,,,,,,,,,,,,,,,,,
pct_fine,0,0,12,0,2.040816327,2.040816327,0,0,0,,,,,,,,,,,,,,,
pct_sand,8,24,24,13,18.36734694,13.26530612,4,16,20,,,,,,,,,,,,,,,
pct_gravel,2,44,38,9,13.26530612,27.55102041,12,6,5,,,,,,,,,,,,,,,
pct_pebble,31,4,4,27,22.44897959,22.44897959,37,40,49,,,,,,,,,,,,,,,
pct_cobble,30,20,4,16,12.24489796,15.30612245,23,27,13,,,,,,,,,,,,,,,
pct_boulder,29,8,18,35,31.63265306,19.3877551,24,11,13,,,,,,,,,,,,,,,
D50,80,9,17,65.5,45,37,46,52.5,44,,,,,,,,,,,,,,,
temp,,,,23.9,21.8,22.4,,,,,,,,,,,,,,,,,,
pH,,,,8.1,7.93,7.92,,,,,,,,,,,,,,,,,,
conductivity,,,,206.1,204.6,186,,,,,,,,,,,,,,,,,,
DO,,,,,,,,,,,,,,,,,,,,,,,,
alkalinity,,,,,,,,,,,,,,,,,,,,,,,,
turbidity,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
pct_stable,15,100,100,75,42.5,72.5,55,85,92.5,,,,,,,,,,,,,,,
pct_eroding,75,0,0,15,15,12.5,7.5,0,7.5,,,,,,,,,,,,,,,
pct_vg,0,0,0,0,0,0,30,52.5,47.5,,,,,,,,,,,,,,,
pct_vb,0,0,0,0,0,0,10,10,47.5,,,,,,,,,,,,,,,
pct_vt,0,0,0,0,0,0,5,0,5,,,,,,,,,,,,,,,
pct_a,0,22.5,0,77.5,25,0,27.5,35,0,,,,,,,,,,,,,,,
pct_o,0,0,2.5,20,45,10,27.5,2.5,0,,,,,,,,,,,,,,,
pct_shallow,0,0,72.5,60,65,45,65,77.5,75,,,,,,,,,,,,,,,
pct_moderate,100,0,27.5,30,20,45,35,22.5,15,,,,,,,,,,,,,,,
pct_undercut,0,0,0,10,15,10,0,0,10,,,,,,,,,,,,,,,
avg_embed,4,11.4,31.6,21.2,15.6,25.6,10.8,11.4,5.2,,,,,,,,,,,,,,,
avg_stream_width,1305.35,1029,1580,1677.5,1140.75,1571.5,1485.75,1140.5,1458.5,,,,,,,,,,,,,,,
std_dev_stream_width,270.5,375.9,300.2,347.6,327.2,320.8,370.7,320.6,475.4,,,,,,,,,,,,,,,
pct_pool,35.33333333,9.866666667,99.33333333,19.33333333,57.33333333,84,0,22.66666667,92,,,,,,,,,,,,,,,
pct_riffle,47.33333333,56.8,0,13.33333333,26,5.333333333,17.33333333,16,0,,,,,,,,,,,,,,,
pct_transition,17.33333333,33.33333333,0.666666667,67.33333333,16.66666667,10.66666667,82.66666667,61.33333333,8,,,,,,,,,,,,,,,
max_depths,140,200,460,150,100,130,99,140,138,,,,,,,,,,,,,,,
avg_Q_cm3_s,4413914.2,579271,590930,620001,574320,314940.5,272407,244789,0,,,,,,,,,,,,,,,
avg_Q_m3_s,4.4139,0.5793,0.5909,0.62,0.5743,0.3149,0.2724,0.2448,0,,,,,,,,,,,,,,,
