Site,Year,Transect,Wetted_Width,Bank_stability_L,Bank_stability_R,Bank_cover_L,Bank_cover_R,Angle_L,Angle_R,Densiometer_L,Densiometer_U,Densiometer_D,Densiometer_R,Compass_bearing,Deviation,Sinuosity_Northing,Sinuosity_Easting,Riparian_cover_H,Riparian_cover_B,Riparian_cover_T,Riparian_cover_E,D-1,V-1,ST-1,D-2,V-2,ST-2,D-3,V-3,ST-3,D-4,V-4,ST-4,D-5,V-5,ST-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,0,1510,E,S,,,M,M,5,0,4,2,,,0,0,,,,,33,160,256,12,140,256,19,100,50,18,120,80,27,140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,8,1480,E,S,,,M,M,0,0,0,0,208,208,-7.063580743,-3.755772502,1,1,1,0,19,40,256,35,0,60,23,0,75,39,140,256,29.5,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,16,1260,E,S,,,M,M,0,0,0,3,208,208,-14.12716149,-7.511545005,1,1,1,0,89.5,40,256,134,0,256,87,40,80,63,0,30,40.5,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,24,1085,E,S,,,M,M,0,0,0,5,200,200,-7.517540966,-2.736161147,1,1,0,0,92,0,256,140,20,256,115,40,100,84,60,80,47,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,32,850,E,S,,,M,M,0,0,0,0,192,8,-7.825180806,-1.663293527,1,1,0,0,45,40,256,48,60,256,50,80,256,51,50,50,47,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,40,1570,E,S,,,M,M,0,0,0,0,192,0,-7.825180806,-1.663293527,1,1,0,0,26,30,256,51,70,256,50,80,256,38,50,60,28,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,48,936,E,E,,,M,M,0,0,0,2,211,19,-6.857338406,-4.120304599,1,1,0,0,28,120,256,41,100,100,34,80,256,22,40,50,23,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,56,1800,E,E,,,M,M,0,0,0,2,218,7,-6.304086029,-4.925291803,1,1,0,0,58,60,256,45,60,1,31,50,40,23,40,20,16,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,64,1405,E,E,,,M,M,0,0,0,2,226,8,-5.557266964,-5.754718403,1,1,0,0,38,160,40,39,120,40,40,50,1,34,20,1,28,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAFB_1,2022,72,1330,E,E,,,M,M,0,0,0,2,242,16,-3.755772502,-7.063580743,0,0,0,0,24,240,60,23,80,120,20,350,100,21,220,80,22,220,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
